,time_step,output,error,control_input
0,0,0.32000000000000006,1.0,1.6
1,1,0.5136000000000001,0.6799999999999999,1.2879999999999998
2,2,0.6537280000000001,0.48639999999999994,1.2142399999999998
3,3,0.7540454400000001,0.3462719999999999,1.1553152
4,4,0.8257766912000001,0.24595455999999993,1.1127016959999998
5,5,0.876971314176,0.17422330879999992,1.0817498060799997
6,6,0.9134327567564801,0.12302868582399995,1.0592785270783998
7,7,0.9393398628040704,0.08656724324351994,1.042968286994432
8,8,0.9576985371531347,0.06066013719592955,1.031133234549391
9,9,0.9706684511933931,0.04230146284686531,1.0225481073544263
10,10,0.9797992711905102,0.029331548806606933,1.0163225511789786
11,11,0.9862013559983281,0.020200728809489754,1.0118096952295994
12,12,0.9906690168345924,0.013798644001671856,1.0085396601796495
13,13,0.993769454372256,0.009330983165407591,1.0061712045229099
14,14,0.9959068765969842,0.006230545627744055,1.0044565654958968
15,15,0.9973686807532716,0.004093123403015819,1.0032158973784213
16,16,0.9983586825969651,0.0026313192467284363,1.0023186899717391
17,17,0.9990209987198675,0.0016413174030348587,1.0016702632114767
18,18,0.9994571895399166,0.0009790012801325076,1.0012019528201128
19,19,0.9997385475328061,0.0005428104600834205,1.000863979504364
20,20,0.9999148918133991,0.00026145246719389004,1.0006202689357706
21,21,1.0000208513759732,8.51081866009018e-05,1.0004446896262689
22,22,1.0000803453428166,-2.0851375973185426e-05,1.00031832121019
23,23,1.0001097705555946,-8.034534281664563e-05,1.0002274714067059
24,24,1.0001202638164959,-0.00010977055559457938,1.0001622368601009
25,25,1.0001193028526483,-0.00012026381649588025,1.000115458997258
26,26,1.00011183562623,-0.00011930285264827312,1.0000819667205556
27,27,1.0001010739671132,-0.00011183562622996135,1.0000580273306454
28,28,1.000089048888635,-0.00010107396711322991,1.0000409485747213
29,29,1.000076997179756,-8.904888863492388e-05,1.0000287903442409
30,30,1.0000656289246068,-7.699717975606646e-05,1.000020155904009
31,31,1.0000553112971722,-6.56289246068198e-05,1.000014040787433
32,32,1.000046193735424,-5.531129717217809e-05,1.0000097234884313
33,33,1.0000382922754059,-4.619373542391614e-05,1.0000066864353336
34,34,1.0000315455992368,-3.829227540586011e-05,1.0000045588945603
35,35,1.0000258516289509,-3.154559923679301e-05,1.0000030757478073
36,36,1.0000210908537361,-2.585162895085702e-05,1.000002047752877
37,37,1.0000171407044902,-2.1090853736138726e-05,1.0000013401075067
38,38,1.000013883966124,-1.7140704490214986e-05,1.0000008570126577
39,39,1.0000112132864536,-1.388396612389542e-05,1.0000005305677724
40,40,1.0000090331874771,-1.1213286453592985e-05,1.000000312791571
41,41,1.0000072605291879,-9.03318747713655e-06,1.0000001698960304
42,42,1.000005824059981,-7.260529187869125e-06,1.0000000781831524
43,43,1.0000046634698445,-5.824059980952256e-06,1.0000000211092983
44,44,1.0000037282135958,-4.663469844512491e-06,0.9999999871886013
45,45,1.0000029762706033,-3.7282135958438545e-06,0.9999999684986324
46,46,1.000002372940026,-2.9762706033054087e-06,0.9999999596177167
47,47,1.0000018897262528,-2.372940026029724e-06,0.9999999568711602
48,48,1.0000015033406287,-1.8897262528128067e-06,0.9999999577981319
49,49,1.0000011948276784,-1.5033406286502071e-06,0.9999999607758773
50,50,1.000000948813312,-1.1948276783524392e-06,0.9999999647558465
51,51,1.0000007528664965,-9.488133119184283e-07,0.9999999690792344
52,52,1.000000596962939,-7.528664964784326e-07,0.9999999733487088
53,53,1.0000004730383054,-5.969629390811804e-07,0.9999999773397702
54,54,1.0000003746186337,-4.7303830541522984e-07,0.9999999809399466
55,55,1.0000002965164003,-3.74618633669499e-07,0.9999999841074664
56,56,1.0000002345818169,-2.965164003221332e-07,0.9999999868434826
57,57,1.000000185500188,-2.345818168603131e-07,0.9999999891736726
